DRAW,DRAW_L,LINE_HW,LINE_P,LINE_T,PHOTO,PHOTO_L,TEXT,TEXT_HW,TEXT_P,TEXT_T,FILE,PAGE
0.03303303303303303,0.06606606606606606,0.3043993325712642,0.018018018018018018,0.1208887208887209,0.057057057057057055,0.057057057057057055,0.021021021021021023,0.11525248708055544,0.05405405405405406,0.15315315315315314,DL_CTX199400067A,17
0.08408408408408409,0.2672672672672673,0.0713034713034713,0.015015015015015015,0.256023856023856,0.036036036036036036,0.003003003003003003,0.05105105105105105,0.03003003003003003,0.024024024024024024,0.16216216216216217,TH_MTX202210018a,40
0.06306306306306306,0.0960960960960961,0.08785372836638772,0.024024024024024024,0.23346759295493363,0.15015015015015015,0.012012012012012012,0.05105105105105105,0.06906906906906907,0.08408408408408409,0.12912912912912913,D_CTX200904273,2
0.0960960960960961,0.13213213213213212,0.13513513513513514,0.009009009009009009,0.19519519519519518,0.06306306306306306,0.006006006006006006,0.04804804804804805,0.042042042042042045,0.13213213213213212,0.14114114114114115,TH_MTX202210018a,56
0.03003003003003003,0.12612612612612611,0.2042042042042042,0.018018018018018018,0.15615615615615616,0.03003003003003003,0.036036036036036036,0.015015015015015015,0.15315315315315314,0.036036036036036036,0.19519519519519518,TT_CTX194604301,39
0.04804804804804805,0.12312312312312312,0.1309937591656908,0.036036036036036036,0.2072072072072072,0.07207207207207207,0.024024024024024024,0.042042042042042045,0.10624347807154642,0.05105105105105105,0.15915915915915915,D_CTX194604301,57
0.03003003003003003,0.09009009009009009,0.3003003003003003,0.042042042042042045,0.18618618618618618,0.03003003003003003,0.04804804804804805,0.02702702702702703,0.1111111111111111,0.03003003003003003,0.10510510510510511,DL_MTX202210018,19
0.04504504504504504,0.12612612612612611,0.16102378919572083,0.036036036036036036,0.2072072072072072,0.06606606606606606,0.018018018018018018,0.036036036036036036,0.12125849308656145,0.05405405405405406,0.12912912912912913,D_CTX194604301,59
0.03003003003003003,0.07507507507507508,0.34534534534534533,0.042042042042042045,0.1891891891891892,0.036036036036036036,0.05405405405405406,0.03003003003003003,0.07807807807807808,0.02702702702702703,0.09309309309309309,DL_MTX202210018,17
0.05105105105105105,0.2072072072072072,0.09107021131561009,0.018018018018018018,0.17920005895466018,0.07207207207207207,0.018018018018018018,0.036036036036036036,0.0960960960960961,0.03003003003003003,0.2012012012012012,D_CTX194604301,25
0.03903903903903904,0.07207207207207207,0.3483483483483483,0.04504504504504504,0.14414414414414414,0.036036036036036036,0.06006006006006006,0.018018018018018018,0.11411411411411411,0.02702702702702703,0.0960960960960961,DL_MTX202210018,10
0.07507507507507508,0.3783783783783784,0.05628845628845629,0.003003003003003003,0.244011844011844,0.03303303303303303,0.003003003003003003,0.03903903903903904,0.021021021021021023,0.02702702702702703,0.12012012012012012,TH_MTX202210018a,24
0.08708708708708708,0.26126126126126126,0.0683004683004683,0.012012012012012012,0.28605388605388604,0.03003003003003003,0.003003003003003003,0.05105105105105105,0.03003003003003003,0.02702702702702703,0.14414414414414414,TH_MTX202210018a,35
0.07207207207207207,0.23123123123123124,0.050282450282450285,0.006006006006006006,0.259026859026859,0.04804804804804805,0.0,0.05405405405405406,0.021021021021021023,0.042042042042042045,0.21621621621621623,TH_MTX202210018a,49
0.05405405405405406,0.19519519519519518,0.09309309309309309,0.003003003003003003,0.2132132132132132,0.05405405405405406,0.02702702702702703,0.03903903903903904,0.07207207207207207,0.042042042042042045,0.2072072072072072,D_MTX201891306,3
0.07207207207207207,0.33933933933933935,0.0622944622944623,0.009009009009009009,0.24701484701484702,0.036036036036036036,0.003003003003003003,0.042042042042042045,0.024024024024024024,0.021021021021021023,0.14414414414414414,TH_MTX202210018a,32
0.03303303303303303,0.06606606606606606,0.3043993325712642,0.018018018018018018,0.1208887208887209,0.057057057057057055,0.057057057057057055,0.021021021021021023,0.11525248708055544,0.05405405405405406,0.15315315315315314,DL_CTX199400067A,17
0.08408408408408409,0.2672672672672673,0.0713034713034713,0.015015015015015015,0.256023856023856,0.036036036036036036,0.003003003003003003,0.05105105105105105,0.03003003003003003,0.024024024024024024,0.16216216216216217,TH_MTX202210018a,40
0.06306306306306306,0.0960960960960961,0.08785372836638772,0.024024024024024024,0.23346759295493363,0.15015015015015015,0.012012012012012012,0.05105105105105105,0.06906906906906907,0.08408408408408409,0.12912912912912913,D_CTX200904273,2
0.0960960960960961,0.13213213213213212,0.13513513513513514,0.009009009009009009,0.19519519519519518,0.06306306306306306,0.006006006006006006,0.04804804804804805,0.042042042042042045,0.13213213213213212,0.14114114114114115,TH_MTX202210018a,56
0.03003003003003003,0.12612612612612611,0.2042042042042042,0.018018018018018018,0.15615615615615616,0.03003003003003003,0.036036036036036036,0.015015015015015015,0.15315315315315314,0.036036036036036036,0.19519519519519518,TT_CTX194604301,39
0.04804804804804805,0.12312312312312312,0.1309937591656908,0.036036036036036036,0.2072072072072072,0.07207207207207207,0.024024024024024024,0.042042042042042045,0.10624347807154642,0.05105105105105105,0.15915915915915915,D_CTX194604301,57
0.03003003003003003,0.09009009009009009,0.3003003003003003,0.042042042042042045,0.18618618618618618,0.03003003003003003,0.04804804804804805,0.02702702702702703,0.1111111111111111,0.03003003003003003,0.10510510510510511,DL_MTX202210018,19
0.04504504504504504,0.12612612612612611,0.16102378919572083,0.036036036036036036,0.2072072072072072,0.06606606606606606,0.018018018018018018,0.036036036036036036,0.12125849308656145,0.05405405405405406,0.12912912912912913,D_CTX194604301,59
0.03003003003003003,0.07507507507507508,0.34534534534534533,0.042042042042042045,0.1891891891891892,0.036036036036036036,0.05405405405405406,0.03003003003003003,0.07807807807807808,0.02702702702702703,0.09309309309309309,DL_MTX202210018,17
0.05105105105105105,0.2072072072072072,0.09107021131561009,0.018018018018018018,0.17920005895466018,0.07207207207207207,0.018018018018018018,0.036036036036036036,0.0960960960960961,0.03003003003003003,0.2012012012012012,D_CTX194604301,25
0.03903903903903904,0.07207207207207207,0.3483483483483483,0.04504504504504504,0.14414414414414414,0.036036036036036036,0.06006006006006006,0.018018018018018018,0.11411411411411411,0.02702702702702703,0.0960960960960961,DL_MTX202210018,10
0.07507507507507508,0.3783783783783784,0.05628845628845629,0.003003003003003003,0.244011844011844,0.03303303303303303,0.003003003003003003,0.03903903903903904,0.021021021021021023,0.02702702702702703,0.12012012012012012,TH_MTX202210018a,24
0.04804804804804805,0.057057057057057055,0.18504781321974487,0.042042042042042045,0.17117117117117117,0.08108108108108109,0.03003003003003003,0.03903903903903904,0.12726449909256746,0.0960960960960961,0.12312312312312312,D_CTX199706756,71
0.03303303303303303,0.10510510510510511,0.17117117117117117,0.015015015015015015,0.17117117117117117,0.03903903903903904,0.036036036036036036,0.018018018018018018,0.1981981981981982,0.036036036036036036,0.17717717717717718,TT_CTX194604301,30
0.07507507507507508,0.24024024024024024,0.13213213213213212,0.018018018018018018,0.26426426426426425,0.024024024024024024,0.0,0.024024024024024024,0.021021021021021023,0.024024024024024024,0.17717717717717718,D_MTX202210018a,43
0.07507507507507508,0.30930930930930933,0.08932148932148933,0.012012012012012012,0.238005838005838,0.03003003003003003,0.003003003003003003,0.03903903903903904,0.02702702702702703,0.021021021021021023,0.15615615615615616,TH_MTX202210018a,11
0.08708708708708708,0.26126126126126126,0.0683004683004683,0.012012012012012012,0.28605388605388604,0.03003003003003003,0.003003003003003003,0.05105105105105105,0.03003003003003003,0.02702702702702703,0.14414414414414414,TH_MTX202210018a,35
0.07207207207207207,0.23123123123123124,0.050282450282450285,0.006006006006006006,0.259026859026859,0.04804804804804805,0.0,0.05405405405405406,0.021021021021021023,0.042042042042042045,0.21621621621621623,TH_MTX202210018a,49
0.05405405405405406,0.19519519519519518,0.09309309309309309,0.003003003003003003,0.2132132132132132,0.05405405405405406,0.02702702702702703,0.03903903903903904,0.07207207207207207,0.042042042042042045,0.2072072072072072,D_MTX201891306,3
0.07207207207207207,0.33933933933933935,0.0622944622944623,0.009009009009009009,0.24701484701484702,0.036036036036036036,0.003003003003003003,0.042042042042042045,0.024024024024024024,0.021021021021021023,0.14414414414414414,TH_MTX202210018a,32
0.03303303303303303,0.06606606606606606,0.3043993325712642,0.018018018018018018,0.1208887208887209,0.057057057057057055,0.057057057057057055,0.021021021021021023,0.11525248708055544,0.05405405405405406,0.15315315315315314,DL_CTX199400067A,17
0.08408408408408409,0.2672672672672673,0.0713034713034713,0.015015015015015015,0.256023856023856,0.036036036036036036,0.003003003003003003,0.05105105105105105,0.03003003003003003,0.024024024024024024,0.16216216216216217,TH_MTX202210018a,40
0.06306306306306306,0.0960960960960961,0.08785372836638772,0.024024024024024024,0.23346759295493363,0.15015015015015015,0.012012012012012012,0.05105105105105105,0.06906906906906907,0.08408408408408409,0.12912912912912913,D_CTX200904273,2
0.0960960960960961,0.13213213213213212,0.13513513513513514,0.009009009009009009,0.19519519519519518,0.06306306306306306,0.006006006006006006,0.04804804804804805,0.042042042042042045,0.13213213213213212,0.14114114114114115,TH_MTX202210018a,56
0.03003003003003003,0.12612612612612611,0.2042042042042042,0.018018018018018018,0.15615615615615616,0.03003003003003003,0.036036036036036036,0.015015015015015015,0.15315315315315314,0.036036036036036036,0.19519519519519518,TT_CTX194604301,39
0.04804804804804805,0.12312312312312312,0.1309937591656908,0.036036036036036036,0.2072072072072072,0.07207207207207207,0.024024024024024024,0.042042042042042045,0.10624347807154642,0.05105105105105105,0.15915915915915915,D_CTX194604301,57
0.03003003003003003,0.09009009009009009,0.3003003003003003,0.042042042042042045,0.18618618618618618,0.03003003003003003,0.04804804804804805,0.02702702702702703,0.1111111111111111,0.03003003003003003,0.10510510510510511,DL_MTX202210018,19
0.04504504504504504,0.12612612612612611,0.16102378919572083,0.036036036036036036,0.2072072072072072,0.06606606606606606,0.018018018018018018,0.036036036036036036,0.12125849308656145,0.05405405405405406,0.12912912912912913,D_CTX194604301,59
0.03003003003003003,0.07507507507507508,0.34534534534534533,0.042042042042042045,0.1891891891891892,0.036036036036036036,0.05405405405405406,0.03003003003003003,0.07807807807807808,0.02702702702702703,0.09309309309309309,DL_MTX202210018,17
0.05105105105105105,0.2072072072072072,0.09107021131561009,0.018018018018018018,0.17920005895466018,0.07207207207207207,0.018018018018018018,0.036036036036036036,0.0960960960960961,0.03003003003003003,0.2012012012012012,D_CTX194604301,25
0.03903903903903904,0.07207207207207207,0.3483483483483483,0.04504504504504504,0.14414414414414414,0.036036036036036036,0.06006006006006006,0.018018018018018018,0.11411411411411411,0.02702702702702703,0.0960960960960961,DL_MTX202210018,10
0.07507507507507508,0.3783783783783784,0.05628845628845629,0.003003003003003003,0.244011844011844,0.03303303303303303,0.003003003003003003,0.03903903903903904,0.021021021021021023,0.02702702702702703,0.12012012012012012,TH_MTX202210018a,24
0.04804804804804805,0.057057057057057055,0.18504781321974487,0.042042042042042045,0.17117117117117117,0.08108108108108109,0.03003003003003003,0.03903903903903904,0.12726449909256746,0.0960960960960961,0.12312312312312312,D_CTX199706756,71
0.03303303303303303,0.10510510510510511,0.17117117117117117,0.015015015015015015,0.17117117117117117,0.03903903903903904,0.036036036036036036,0.018018018018018018,0.1981981981981982,0.036036036036036036,0.17717717717717718,TT_CTX194604301,30
0.07507507507507508,0.24024024024024024,0.13213213213213212,0.018018018018018018,0.26426426426426425,0.024024024024024024,0.0,0.024024024024024024,0.021021021021021023,0.024024024024024024,0.17717717717717718,D_MTX202210018a,43
0.07507507507507508,0.30930930930930933,0.08932148932148933,0.012012012012012012,0.238005838005838,0.03003003003003003,0.003003003003003003,0.03903903903903904,0.02702702702702703,0.021021021021021023,0.15615615615615616,TH_MTX202210018a,11
0.12612612612612611,0.11411411411411411,0.07507507507507508,0.009009009009009009,0.2222222222222222,0.07507507507507508,0.0,0.05105105105105105,0.03903903903903904,0.15315315315315314,0.13513513513513514,D_MTX202110009,5
0.12312312312312312,0.0960960960960961,0.1021021021021021,0.006006006006006006,0.18018018018018017,0.06606606606606606,0.003003003003003003,0.05105105105105105,0.05105105105105105,0.16816816816816818,0.15315315315315314,D_MTX202110009,2
0.057057057057057055,0.24324324324324326,0.057057057057057055,0.024024024024024024,0.2672672672672673,0.04804804804804805,0.006006006006006006,0.02702702702702703,0.036036036036036036,0.06006006006006006,0.17417417417417416,D_MTX201890345,2
0.02702702702702703,0.08708708708708708,0.302164930336862,0.021021021021021023,0.12012012012012012,0.06606606606606606,0.057057057057057055,0.018018018018018018,0.10924648107454943,0.05405405405405406,0.13813813813813813,DL_CTX199400067A,33
0.08708708708708708,0.26126126126126126,0.0683004683004683,0.012012012012012012,0.28605388605388604,0.03003003003003003,0.003003003003003003,0.05105105105105105,0.03003003003003003,0.02702702702702703,0.14414414414414414,TH_MTX202210018a,35
0.07207207207207207,0.23123123123123124,0.050282450282450285,0.006006006006006006,0.259026859026859,0.04804804804804805,0.0,0.05405405405405406,0.021021021021021023,0.042042042042042045,0.21621621621621623,TH_MTX202210018a,49
0.05405405405405406,0.19519519519519518,0.09309309309309309,0.003003003003003003,0.2132132132132132,0.05405405405405406,0.02702702702702703,0.03903903903903904,0.07207207207207207,0.042042042042042045,0.2072072072072072,D_MTX201891306,3
0.07207207207207207,0.33933933933933935,0.0622944622944623,0.009009009009009009,0.24701484701484702,0.036036036036036036,0.003003003003003003,0.042042042042042045,0.024024024024024024,0.021021021021021023,0.14414414414414414,TH_MTX202210018a,32
0.03303303303303303,0.06606606606606606,0.3043993325712642,0.018018018018018018,0.1208887208887209,0.057057057057057055,0.057057057057057055,0.021021021021021023,0.11525248708055544,0.05405405405405406,0.15315315315315314,DL_CTX199400067A,17
0.08408408408408409,0.2672672672672673,0.0713034713034713,0.015015015015015015,0.256023856023856,0.036036036036036036,0.003003003003003003,0.05105105105105105,0.03003003003003003,0.024024024024024024,0.16216216216216217,TH_MTX202210018a,40
0.06306306306306306,0.0960960960960961,0.08785372836638772,0.024024024024024024,0.23346759295493363,0.15015015015015015,0.012012012012012012,0.05105105105105105,0.06906906906906907,0.08408408408408409,0.12912912912912913,D_CTX200904273,2
0.0960960960960961,0.13213213213213212,0.13513513513513514,0.009009009009009009,0.19519519519519518,0.06306306306306306,0.006006006006006006,0.04804804804804805,0.042042042042042045,0.13213213213213212,0.14114114114114115,TH_MTX202210018a,56
0.03003003003003003,0.12612612612612611,0.2042042042042042,0.018018018018018018,0.15615615615615616,0.03003003003003003,0.036036036036036036,0.015015015015015015,0.15315315315315314,0.036036036036036036,0.19519519519519518,TT_CTX194604301,39
0.04804804804804805,0.12312312312312312,0.1309937591656908,0.036036036036036036,0.2072072072072072,0.07207207207207207,0.024024024024024024,0.042042042042042045,0.10624347807154642,0.05105105105105105,0.15915915915915915,D_CTX194604301,57
0.03003003003003003,0.09009009009009009,0.3003003003003003,0.042042042042042045,0.18618618618618618,0.03003003003003003,0.04804804804804805,0.02702702702702703,0.1111111111111111,0.03003003003003003,0.10510510510510511,DL_MTX202210018,19
0.04504504504504504,0.12612612612612611,0.16102378919572083,0.036036036036036036,0.2072072072072072,0.06606606606606606,0.018018018018018018,0.036036036036036036,0.12125849308656145,0.05405405405405406,0.12912912912912913,D_CTX194604301,59
0.03003003003003003,0.07507507507507508,0.34534534534534533,0.042042042042042045,0.1891891891891892,0.036036036036036036,0.05405405405405406,0.03003003003003003,0.07807807807807808,0.02702702702702703,0.09309309309309309,DL_MTX202210018,17
0.05105105105105105,0.2072072072072072,0.09107021131561009,0.018018018018018018,0.17920005895466018,0.07207207207207207,0.018018018018018018,0.036036036036036036,0.0960960960960961,0.03003003003003003,0.2012012012012012,D_CTX194604301,25
0.03903903903903904,0.07207207207207207,0.3483483483483483,0.04504504504504504,0.14414414414414414,0.036036036036036036,0.06006006006006006,0.018018018018018018,0.11411411411411411,0.02702702702702703,0.0960960960960961,DL_MTX202210018,10
0.07507507507507508,0.3783783783783784,0.05628845628845629,0.003003003003003003,0.244011844011844,0.03303303303303303,0.003003003003003003,0.03903903903903904,0.021021021021021023,0.02702702702702703,0.12012012012012012,TH_MTX202210018a,24
0.04804804804804805,0.057057057057057055,0.18504781321974487,0.042042042042042045,0.17117117117117117,0.08108108108108109,0.03003003003003003,0.03903903903903904,0.12726449909256746,0.0960960960960961,0.12312312312312312,D_CTX199706756,71
0.03303303303303303,0.10510510510510511,0.17117117117117117,0.015015015015015015,0.17117117117117117,0.03903903903903904,0.036036036036036036,0.018018018018018018,0.1981981981981982,0.036036036036036036,0.17717717717717718,TT_CTX194604301,30
0.07507507507507508,0.24024024024024024,0.13213213213213212,0.018018018018018018,0.26426426426426425,0.024024024024024024,0.0,0.024024024024024024,0.021021021021021023,0.024024024024024024,0.17717717717717718,D_MTX202210018a,43
0.07507507507507508,0.30930930930930933,0.08932148932148933,0.012012012012012012,0.238005838005838,0.03003003003003003,0.003003003003003003,0.03903903903903904,0.02702702702702703,0.021021021021021023,0.15615615615615616,TH_MTX202210018a,11
0.12612612612612611,0.11411411411411411,0.07507507507507508,0.009009009009009009,0.2222222222222222,0.07507507507507508,0.0,0.05105105105105105,0.03903903903903904,0.15315315315315314,0.13513513513513514,D_MTX202110009,5
0.12312312312312312,0.0960960960960961,0.1021021021021021,0.006006006006006006,0.18018018018018017,0.06606606606606606,0.003003003003003003,0.05105105105105105,0.05105105105105105,0.16816816816816818,0.15315315315315314,D_MTX202110009,2
0.057057057057057055,0.24324324324324326,0.057057057057057055,0.024024024024024024,0.2672672672672673,0.04804804804804805,0.006006006006006006,0.02702702702702703,0.036036036036036036,0.06006006006006006,0.17417417417417416,D_MTX201890345,2
0.02702702702702703,0.08708708708708708,0.302164930336862,0.021021021021021023,0.12012012012012012,0.06606606606606606,0.057057057057057055,0.018018018018018018,0.10924648107454943,0.05405405405405406,0.13813813813813813,DL_CTX199400067A,33
0.08708708708708708,0.27627627627627627,0.0773094773094773,0.018018018018018018,0.259026859026859,0.03003003003003003,0.003003003003003003,0.05405405405405406,0.021021021021021023,0.024024024024024024,0.15015015015015015,TH_MTX202210018a,16
0.036036036036036036,0.07507507507507508,0.34234234234234234,0.03303303303303303,0.16516516516516516,0.03303303303303303,0.06006006006006006,0.024024024024024024,0.1021021021021021,0.024024024024024024,0.10510510510510511,DL_MTX202210018,22
0.024024024024024024,0.1021021021021021,0.23123123123123124,0.04504504504504504,0.11711711711711711,0.036036036036036036,0.06606606606606606,0.006006006006006006,0.12312312312312312,0.015015015015015015,0.23423423423423423,TT_CTX200502635,18
0.04504504504504504,0.32732732732732733,0.10510510510510511,0.009009009009009009,0.18618618618618618,0.024024024024024024,0.006006006006006006,0.03003003003003003,0.04504504504504504,0.015015015015015015,0.2072072072072072,TH_CTX194103705,3
0.08708708708708708,0.26126126126126126,0.0683004683004683,0.012012012012012012,0.28605388605388604,0.03003003003003003,0.003003003003003003,0.05105105105105105,0.03003003003003003,0.02702702702702703,0.14414414414414414,TH_MTX202210018a,35
0.07207207207207207,0.23123123123123124,0.050282450282450285,0.006006006006006006,0.259026859026859,0.04804804804804805,0.0,0.05405405405405406,0.021021021021021023,0.042042042042042045,0.21621621621621623,TH_MTX202210018a,49
0.05405405405405406,0.19519519519519518,0.09309309309309309,0.003003003003003003,0.2132132132132132,0.05405405405405406,0.02702702702702703,0.03903903903903904,0.07207207207207207,0.042042042042042045,0.2072072072072072,D_MTX201891306,3
0.07207207207207207,0.33933933933933935,0.0622944622944623,0.009009009009009009,0.24701484701484702,0.036036036036036036,0.003003003003003003,0.042042042042042045,0.024024024024024024,0.021021021021021023,0.14414414414414414,TH_MTX202210018a,32
0.03303303303303303,0.06606606606606606,0.3043993325712642,0.018018018018018018,0.1208887208887209,0.057057057057057055,0.057057057057057055,0.021021021021021023,0.11525248708055544,0.05405405405405406,0.15315315315315314,DL_CTX199400067A,17
0.08408408408408409,0.2672672672672673,0.0713034713034713,0.015015015015015015,0.256023856023856,0.036036036036036036,0.003003003003003003,0.05105105105105105,0.03003003003003003,0.024024024024024024,0.16216216216216217,TH_MTX202210018a,40
0.06306306306306306,0.0960960960960961,0.08785372836638772,0.024024024024024024,0.23346759295493363,0.15015015015015015,0.012012012012012012,0.05105105105105105,0.06906906906906907,0.08408408408408409,0.12912912912912913,D_CTX200904273,2
0.0960960960960961,0.13213213213213212,0.13513513513513514,0.009009009009009009,0.19519519519519518,0.06306306306306306,0.006006006006006006,0.04804804804804805,0.042042042042042045,0.13213213213213212,0.14114114114114115,TH_MTX202210018a,56
0.03003003003003003,0.12612612612612611,0.2042042042042042,0.018018018018018018,0.15615615615615616,0.03003003003003003,0.036036036036036036,0.015015015015015015,0.15315315315315314,0.036036036036036036,0.19519519519519518,TT_CTX194604301,39
0.04804804804804805,0.12312312312312312,0.1309937591656908,0.036036036036036036,0.2072072072072072,0.07207207207207207,0.024024024024024024,0.042042042042042045,0.10624347807154642,0.05105105105105105,0.15915915915915915,D_CTX194604301,57
0.03003003003003003,0.09009009009009009,0.3003003003003003,0.042042042042042045,0.18618618618618618,0.03003003003003003,0.04804804804804805,0.02702702702702703,0.1111111111111111,0.03003003003003003,0.10510510510510511,DL_MTX202210018,19
0.04504504504504504,0.12612612612612611,0.16102378919572083,0.036036036036036036,0.2072072072072072,0.06606606606606606,0.018018018018018018,0.036036036036036036,0.12125849308656145,0.05405405405405406,0.12912912912912913,D_CTX194604301,59
0.03003003003003003,0.07507507507507508,0.34534534534534533,0.042042042042042045,0.1891891891891892,0.036036036036036036,0.05405405405405406,0.03003003003003003,0.07807807807807808,0.02702702702702703,0.09309309309309309,DL_MTX202210018,17
